Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,2123.2799999999997,25479.36,USD,"Quantity (1), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (300 GB), Instance type (db.m5.4xlarge), Additional backup storage (600 GB)"
My Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,1067.6399999999999,12811.68,USD,"Quantity (1), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (300 GB), Instance type (db.m5.2xlarge)"
My Estimate,US East (N. Virginia),Amazon EC2,0,373.26,4479.12,USD,"Operating system (Linux), Quantity (12), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (m6g.medium)"
My Estimate,US East (N. Virginia),Amazon EC2,0,864.6,10375.20,USD,"Operating system (Linux), Quantity (6), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (200 GB)"
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,1184.43,14213.16,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,2372.5,28470.00,USD,"Number of Classic Load Balancers (2), Processed bytes per CLB (200 GB per hour)"
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,1024,12288.00,USD," Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Internet) 0 TB per month 
 Intra-Region 100 TB per month 
"
My Estimate,US East (N. Virginia),AWS Data Transfer,0,1791.91,21502.92,USD," Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Internet) 20 TB per month 
 Intra-Region 0 TB per month 
"
My Estimate,US East (N. Virginia),S3 Standard,0,24.82,297.84,USD,S3 Standard storage (300 GB per month)
My Estimate,US East (N. Virginia),Data Transfer,0,0,0.00,USD," Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month 
"
My Estimate,US East (Ohio),Amazon Virtual Private Cloud (VPC),0,2048,24576.00,USD,"Data Transfer, Data transfer cost (2048)"
My Estimate,US East (Ohio),Amazon RDS for MySQL,0,533.8199999999999,6405.84,USD,"Quantity (1), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (300 GB), Instance type (db.m5.2xlarge)"
My Estimate,US East (Ohio),Amazon RDS for MySQL,0,1033.1399999999999,12397.68,USD,"Quantity (1), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (300 GB), Instance type (db.m5.4xlarge)"
My Estimate,US East (Ohio),Amazon EC2,0,373.26,4479.12,USD,"Operating system (Linux), Quantity (12), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (m6g.medium)"
My Estimate,US East (Ohio),Amazon EC2,0,762.6,9151.20,USD,"Operating system (Linux), Quantity (6), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (c5.xlarge)"
My Estimate,US East (Ohio),Amazon Virtual Private Cloud (VPC),0,1024,12288.00,USD,"Data Transfer, Data transfer cost (1024)"
My Estimate,US East (Ohio),Elastic Load Balancing,0,1184.43,14213.16,USD,Number of Application Load Balancers (1)
My Estimate,US East (Ohio),Elastic Load Balancing,0,2372.5,28470.00,USD,"Number of Classic Load Balancers (2), Processed bytes per CLB (200 GB per hour)"



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
