Group hierarchy,Region,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,375.65999999999997,4507.92,USD,"Quantity (1), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (300 GB), Instance type (db.m5.large), Additional backup storage (600 GB)"
My Estimate,US East (N. Virginia),Amazon RDS for MySQL,0,674.126,8089.51,USD,"Quantity (1), Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (300 GB)"
My Estimate,US East (N. Virginia),Amazon EC2,0,186.63,2239.56,USD,"Operating system (Linux), Quantity (6), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (30 GB), Instance type (m6g.medium)"
My Estimate,US East (N. Virginia),Amazon EC2,0,432.3,5187.60,USD,"Operating system (Linux), Quantity (3), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (200 GB), Instance type (c5.xlarge)"
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,1184.43,14213.16,USD,Number of Application Load Balancers (1)
My Estimate,US East (N. Virginia),Elastic Load Balancing,0,1186.25,14235.00,USD,"Number of Classic Load Balancers (1), Processed bytes per CLB (200 GB per hour)"
My Estimate,US East (N. Virginia),Amazon Virtual Private Cloud (VPC),0,921.6,11059.20,USD,"Data Transfer, Data transfer cost (921.6)"
My Estimate,US East (N. Virginia),AWS Data Transfer,0,1356.71,16280.52,USD,"Data Transfer, Data transfer cost (1356.71)"
My Estimate,US East (N. Virginia),S3 Standard,0,24.82,297.84,USD,S3 Standard storage (300 GB per month)
My Estimate,US East (N. Virginia),Data Transfer,0,0,0.00,USD," Inbound (from: Not selected) 0 TB per month 
 Outbound (to: Not selected) 0 TB per month 
"



"AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
